baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
2004	1496.6024374867	0.18580009514636	0.0538143041441928	3.4526153984732	0.000555179950090572	0.0515004520375048
23516	4126.00700867688	0.547734075970171	0.158997631042191	3.44491972855135	0.00057122900201765	0.0524953682864301
3066	1714.70751926069	-0.186763614963941	0.0543059015568008	-3.43910347881063	0.000583644095587131	0.0532933667714524
54962	166.207337609584	-0.304166274406457	0.0884688026035317	-3.43811903693963	0.000585770133781627	0.0532933667714524
222255	170.096158664357	0.28492153295021	0.0829053405856426	3.43670903391177	0.00058882779112479	0.0533050273000333
6868	1076.53419575677	0.386866455430142	0.112687296863762	3.43309730730217	0.000596727894486031	0.0536990837536698
7097	10.8376826499918	1.39694083551502	0.407030576351567	3.43202922993291	0.000599082985381126	0.0536990837536698
25843	380.959063020548	-0.242833254691263	0.0709096112757081	-3.42454640947174	0.000615826652663354	0.0545084740950571
85463	375.420029147777	0.355971615226879	0.103930523163408	3.42509211338416	0.000614591009224554	0.0545084740950571
90293	21.3192708984009	-0.791846781802713	0.231264658294694	-3.42398526277925	0.00061709967375147	0.0545084740950571
1397	667.315044175425	-0.35783103179879	0.104595084876408	-3.42110752356682	0.000623666697389386	0.0546758426969176
51155	916.744669978099	-0.298041554574787	0.0871332801930551	-3.42052490063999	0.000625004137225701	0.0546758426969176
3459	863.899905678697	0.380111784133686	0.111408632901961	3.41187010586678	0.00064518849657337	0.055116666120418
6422	356.100361630147	-0.539784210656231	0.158169133218964	-3.41270259039082	0.00064322097527601	0.055116666120418
105371094	10.6405157956188	1.24157586976383	0.363870352060706	3.4121380396408	0.000644554643044939	0.055116666120418
9688	614.258873997396	-0.265138173959063	0.0776571017305338	-3.4142167045981	0.000639656766284134	0.055116666120418
9500	7408.38494977776	-0.247572226280352	0.0725158863330411	-3.41404123702406	0.000640068871991561	0.055116666120418
10607	392.400047409316	-0.179062374348513	0.0525574701561137	-3.4069823721849	0.000656853691298085	0.0558509802189718
388962	233.779340943525	-0.355869964759617	0.104780382013105	-3.39634154717157	0.000682930849712431	0.0576268478768159
83877	1327.91971591753	-0.18665280739037	0.0549671815027292	-3.39571362925172	0.000684499344754175	0.0576268478768159
84952	65.1093729484364	1.13300126130765	0.334011096981583	3.39210664419967	0.000693574394648422	0.0576268478768159
163087	194.348364978429	0.239830880318254	0.0707003199884424	3.39221774890778	0.000693293197836956	0.0576268478768159
5672	404.424175013196	-0.834977097837298	0.246146920324549	-3.39218990323489	0.000693363662976317	0.0576268478768159
22925	1048.2377455041	0.375607629051646	0.110786658908788	3.39036877500645	0.000697986616604157	0.057729838526042
29889	1233.63580490734	-0.185336727230809	0.0546993347697054	-3.38828119228711	0.000703321199565081	0.0579078395804806
